cod_ocorrencia;ano;mes_ano;munic;mcirc;regiao;roubo_comercio
379;2003;2003m04;Rio de Janeiro;3304557;Capital;21
380;2003;2003m04;Rio de Janeiro;3304557;Capital;3
381;2003;2003m04;Rio de Janeiro;3304557;Capital;16
382;2003;2003m04;Rio de Janeiro;3304557;Capital;4
383;2003;2003m04;Rio de Janeiro;3304557;Capital;2
384;2003;2003m04;Rio de Janeiro;3304557;Capital;4
385;2003;2003m04;Rio de Janeiro;3304557;Capital;8
386;2003;2003m04;Rio de Janeiro;3304557;Capital;5
387;2003;2003m04;Rio de Janeiro;3304557;Capital;7
388;2003;2003m04;Rio de Janeiro;3304557;Capital;13
389;2003;2003m04;Rio de Janeiro;3304557;Capital;1
390;2003;2003m04;Rio de Janeiro;3304557;Capital;20
391;2003;2003m04;Rio de Janeiro;3304557;Capital;5
392;2003;2003m04;Rio de Janeiro;3304557;Capital;4
393;2003;2003m04;Rio de Janeiro;3304557;Capital;10
394;2003;2003m04;Rio de Janeiro;3304557;Capital;8
395;2003;2003m04;Rio de Janeiro;3304557;Capital;17
396;2003;2003m04;Rio de Janeiro;3304557;Capital;13
397;2003;2003m04;Rio de Janeiro;3304557;Capital;21
398;2003;2003m04;Rio de Janeiro;3304557;Capital;12
399;2003;2003m04;Rio de Janeiro;3304557;Capital;5
400;2003;2003m04;Rio de Janeiro;3304557;Capital;0
401;2003;2003m04;Rio de Janeiro;3304557;Capital;16
402;2003;2003m04;Rio de Janeiro;3304557;Capital;10
403;2003;2003m04;Rio de Janeiro;3304557;Capital;15
404;2003;2003m04;Rio de Janeiro;3304557;Capital;15
405;2003;2003m04;Rio de Janeiro;3304557;Capital;1
406;2003;2003m04;Rio de Janeiro;3304557;Capital;5
407;2003;2003m04;Rio de Janeiro;3304557;Capital;5
408;2003;2003m04;Rio de Janeiro;3304557;Capital;14
409;2003;2003m04;Rio de Janeiro;3304557;Capital;19
410;2003;2003m04;Rio de Janeiro;3304557;Capital;7
411;2003;2003m04;Rio de Janeiro;3304557;Capital;11
412;2003;2003m04;Rio de Janeiro;3304557;Capital;9
413;2003;2003m04;Rio de Janeiro;3304557;Capital;12
414;2003;2003m04;Rio de Janeiro;3304557;Capital;9
415;2003;2003m04;Rio de Janeiro;3304557;Capital;14
416;2003;2003m04;Rio de Janeiro;3304557;Capital;0
417;2003;2003m04;Rio de Janeiro;3304557;Capital;6
418;2003;2003m04;Seropédica;3305554;Baixada Fluminense;2
