cod_ocorrencia;ano;mes_ano;munic;mcirc;regiao;roubo_rua
349;2003;2003m03;"Cabo Frio;Arraial do Cabo";9999985;Interior;51
350;2003;2003m03;Armação dos Búzios;3300233;Interior;6
351;2003;2003m03;Rio das Ostras;3304524;Interior;8
352;2003;2003m03;Iguaba Grande;3301876;Interior;1
353;2003;2003m03;Campos dos Goytacazes;3301009;Interior;57
354;2003;2003m03;Itaocara;3302106;Interior;0
355;2003;2003m03;"Santo Antônio de Pádua;Aperibé";9999993;Interior;0
356;2003;2003m03;Miracema;3303005;Interior;0
357;2003;2003m03;Laje do Muriaé;3302304;Interior;0
358;2003;2003m03;Porciúncula;3304102;Interior;0
359;2003;2003m03;"Natividade;Varre-Sai";9999997;Interior;0
360;2003;2003m03;São Fidélis;3304805;Interior;1
361;2003;2003m03;Cambuci;3300902;Interior;0
362;2003;2003m03;"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";9999986;Interior;6
363;2003;2003m03;Bom Jesus de Itabapoana;3300605;Interior;0
364;2003;2003m03;São João da Barra;3305000;Interior;4
365;2003;2003m03;"Campos dos Goytacazes;São Francisco de Itabapoana";9999987;Interior;19
366;2003;2003m03;Nova Friburgo;3303401;Interior;9
367;2003;2003m03;Duas Barras;3301603;Interior;0
368;2003;2003m03;Cantagalo;3301108;Interior;0
369;2003;2003m03;"Cordeiro;Macuco";9999998;Interior;0
370;2003;2003m03;São Sebastião do Alto;3305307;Interior;0
371;2003;2003m03;Santa Maria Madalena;3304607;Interior;0
372;2003;2003m03;Trajano de Morais;3305901;Interior;0
373;2003;2003m03;Bom Jardim;3300506;Interior;0
374;2003;2003m03;Cachoeiras de Macacu;3300803;Interior;1
375;2003;2003m03;Mangaratiba;3302601;Interior;1
376;2003;2003m03;Angra dos Reis;3300100;Interior;10
377;2003;2003m03;Paraty;3303807;Interior;2
378;2003;2003m03;Rio Claro;3304409;Interior;1
379;2003;2003m04;Rio de Janeiro;3304557;Capital;78
380;2003;2003m04;Rio de Janeiro;3304557;Capital;55
381;2003;2003m04;Rio de Janeiro;3304557;Capital;59
382;2003;2003m04;Rio de Janeiro;3304557;Capital;39
383;2003;2003m04;Rio de Janeiro;3304557;Capital;2
384;2003;2003m04;Rio de Janeiro;3304557;Capital;65
385;2003;2003m04;Rio de Janeiro;3304557;Capital;63
386;2003;2003m04;Rio de Janeiro;3304557;Capital;40
387;2003;2003m04;Rio de Janeiro;3304557;Capital;22
388;2003;2003m04;Rio de Janeiro;3304557;Capital;35
389;2003;2003m04;Rio de Janeiro;3304557;Capital;24
390;2003;2003m04;Rio de Janeiro;3304557;Capital;42
391;2003;2003m04;Rio de Janeiro;3304557;Capital;43
392;2003;2003m04;Rio de Janeiro;3304557;Capital;68
393;2003;2003m04;Rio de Janeiro;3304557;Capital;51
394;2003;2003m04;Rio de Janeiro;3304557;Capital;50
395;2003;2003m04;Rio de Janeiro;3304557;Capital;86
396;2003;2003m04;Rio de Janeiro;3304557;Capital;56
